Ticker,Security,GICS Sector,GICS Sub Industry,Location,Date Added,CIK
MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",,66740
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",3/31/1964,1800
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,"North Chicago, Illinois",12/31/2012,1551152
ABMD,ABIOMED Inc,Health Care,Health Care Equipment,"Danvers, Massachusetts",5/31/2018,815094
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/2011,1467373
ATVI,Activision Blizzard,Information Technology,Home Entertainment Software,"Santa Monica, California",8/31/2015,718877
ADBE,Adobe Systems Inc,Information Technology,Application Software,"San Jose, California",5/5/1997,796343
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,"Sunnyvale, California",3/20/2017,2488
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",7/9/2015,1158449
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",10/2/1998,874761
AET,Aetna Inc,Health Care,Managed Health Care,"Hartford, Connecticut",6/30/1976,1122304
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,"Beverly, Massachusetts",7/1/2014,1004434
AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",5/28/1999,4977
A,Agilent Technologies Inc,Health Care,Health Care Equipment,"Santa Clara, California",6/5/2000,1090872
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",4/30/1985,2969
AKAM,Akamai Technologies Inc,Information Technology,Internet Software & Services,"Cambridge, Massachusetts",7/12/2007,1086222
ALK,Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington",5/13/2016,766421
ALB,Albemarle Corp,Materials,Specialty Chemicals,"Baton Rouge, Louisiana",7/1/2016,915913
ARE,Alexandria Real Estate Equities Inc,Real Estate,Office REITs,"Pasadena, California",3/20/2017,1035443
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Cheshire, Connecticut",5/25/2012,899866
ALGN,Align Technology,Health Care,Health Care Supplies,"San Jose, California",6/19/2017,1097149
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",12/2/2013,1579241
AGN,"Allergan, Plc",Health Care,Pharmaceuticals,"Dublin, Ireland",4/12/1999,1578845
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",12/23/2013,1101215
LNT,Alliant Energy Corp,Utilities,Electric Utilities,"Madison, Wisconsin",7/1/2016,352541
ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",7/13/1995,899051
GOOGL,Alphabet Inc Class A,Information Technology,Internet Software & Services,"Mountain View, California",4/3/2014,1652044
GOOG,Alphabet Inc Class C,Information Technology,Internet Software & Services,"Mountain View, California",4/3/2006,1652044
MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",,764180
AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",11/18/2005,1018724
AEE,Ameren Corp,Utilities,Multi-Utilities,"St. Louis, Missouri",9/19/1991,1002910
AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",3/23/2015,6201
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",,4904
AXP,American Express Co,Financials,Consumer Finance,"New York, New York",6/30/1976,4962
AIG,"American International Group, Inc.",Financials,Property & Casualty Insurance,"New York, New York",3/31/1980,5272
AMT,American Tower Corp A,Real Estate,Specialized REITs,"Boston, Massachusetts",11/19/2007,1053507
AWK,American Water Works Company Inc,Utilities,Water Utilities,"Voorhees, New Jersey",3/4/2016,1410636
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",10/3/2005,820027
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",8/30/2001,1140859
AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",9/23/2013,1037868
AMGN,Amgen Inc.,Health Care,Biotechnology,"Thousand Oaks, California",1/2/1992,318154
APH,Amphenol Corp,Information Technology,Electronic Components,"Wallingford, Connecticut",9/30/2008,820313
APC,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production,"The Woodlands, Texas",7/28/1997,773910
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts",10/12/1999,6281
ANDV,Andeavor,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",9/27/2007,50104
ANSS,ANSYS,Information Technology,Application Software,"Canonsburg, Pennsylvania",6/19/2017,1013462
ANTM,Anthem Inc.,Health Care,Managed Health Care,"Indianapolis, Indiana",7/25/2002,1156039
AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",4/23/1996,315293
AOS,A.O. Smith Corp,Industrials,Building Products,"Milwaukee, Wisconsin",7/26/2017,91142
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",7/28/1997,6769
AIV,Apartment Investment & Management,Real Estate,Residential REITs,"Denver, Colorado",3/14/2003,922864
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",11/30/1982,320193
AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,"Santa Clara, California",3/16/1995,6951
APTV,Aptiv Plc,Consumer Discretionary,Auto Parts & Equipment,"Gillingham, Kent, United Kingdom",12/24/2012,1521332
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Decatur, Illinois",7/29/1981,7084
ARNC,Arconic Inc.,Industrials,Aerospace & Defense,"New York, New York",3/31/1964,4281
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Itasca, Illinois",5/31/2016,354190
AIZ,Assurant Inc.,Financials,Multi-line Insurance,"New York, New York",4/10/2007,1267238
T,AT&T Inc.,Telecommunication Services,Integrated Telecommunication Services,"Dallas, Texas",11/30/1983,732717
ADSK,Autodesk Inc.,Information Technology,Application Software,"San Rafael, California",12/1/1989,769397
