company_code,cik,filing_type,filing_period,netincomeloss,prev_netincomeloss,retainedearnings,prev_retainedearnings,netcash_operating,prev_netcash_operating,netcash_investing,prev_netcash_investing,netcash_financing,prev_netcash_financing,ppe_purchases,prev_ppe_purchases
MMM,66740,10-K,20141231,4956000000,4659000000.0,34317000000,32416000000,5300000000,5817000000,-2686000000,-856000000,-2058000000,-5246000000,1484000000,1665000000
MMM,66740,10-K,20151231,4659000000,1207000000.0,34317000000,36575000000,5817000000,6626000000,-856000000,-596000000,-5246000000,-6603000000,1665000000,1493000000
MMM,66740,10-K,20161231,4956000000,1199000000.0,32416000000,34038000000,6626000000,6420000000,-596000000,-2817000000,-6603000000,-3648000000,1493000000,365000000
MMM,66740,10-K,20171231,4833000000,1275000000.0,37907000000,39115000000,6420000000,6662000000,-2817000000,-1403000000,-3648000000,-4626000000,1461000000,442000000
MMM,66740,10-Q,20140331,1207000000,1129000000.0,33312000000,32416000000,1092000000,994000000,-287000000,-405000000,-1399000000,-486000000,293000000,324000000
MMM,66740,10-Q,20140630,1267000000,1197000000.0,33836000000,32416000000,2732000000,2673000000,-579000000,-740000000,-2584000000,-1727000000,634000000,718000000
MMM,66740,10-Q,20140930,1303000000,1230000000.0,34484000000,32416000000,4443000000,3824000000,-578000000,-702000000,-4473000000,-3643000000,1003000000,1122000000
MMM,66740,10-Q,20150331,1199000000,1207000000.0,35080000000,34317000000,1080000000,1092000000,0,-287000000,-1154000000,-1399000000,291000000,293000000
MMM,66740,10-Q,20150630,1300000000,1267000000.0,35615000000,34317000000,2418000000,2732000000,166000000,-579000000,-1474000000,-2584000000,661000000,634000000
MMM,66740,10-Q,20150930,3777000000,-5000000.0,34317000000,36235000000,4443000000,4082000000,-578000000,-2611000000,-4473000000,-1694000000,1003000000,1015000000
MMM,66740,10-Q,20160331,1199000000,1275000000.0,36575000000,36785000000,1080000000,1260000000,-280000000,-2611000000,-1154000000,-1426000000,291000000,314000000
MMM,66740,10-Q,20160630,2499000000,1300000000.0,36575000000,37194000000,2418000000,2545000000,166000000,-630000000,-1474000000,-2028000000,661000000,637000000
MMM,66740,10-Q,20160930,3795000000,1296000000.0,36575000000,37745000000,4082000000,4453000000,-2611000000,-1173000000,-1694000000,-2780000000,1015000000,984000000
MMM,66740,10-Q,20170331,1275000000,1323000000.0,37907000000,38094000000,1260000000,988000000,-280000000,-90000000,-1426000000,-1151000000,314000000,287000000
MMM,66740,10-Q,20170630,2566000000,1291000000.0,37907000000,38793000000,2545000000,2630000000,-630000000,427000000,-2028000000,-2856000000,637000000,589000000
MMM,66740,10-Q,20170930,3895000000,1329000000.0,37907000000,39454000000,4453000000,4380000000,-1173000000,-354000000,-2780000000,-3699000000,984000000,914000000
MMM,66740,10-Q,20180331,1323000000,602000000.0,39115000000,-2000000,988000000,143000000,-90000000,281000000,-1151000000,46000000,287000000,304000000
ABT,1800,10-K,20141231,5963000000,5963000000.0,21979000000,22874000000,9314000000,3324000000,-5560000000,-3929000000,195000000,-6696000000,1795000000,1145000000
ABT,1800,10-K,20151231,2576000000,2576000000.0,22874000000,25757000000,3324000000,3675000000,-3929000000,-202000000,-6696000000,-2742000000,1145000000,1077000000
ABT,1800,10-K,20161231,2284000000,2284000000.0,25757000000,25565000000,3675000000,2966000000,-202000000,406000000,-2742000000,-2236000000,1077000000,1110000000
ABT,1800,10-K,20171231,4423000000,4423000000.0,25565000000,23978000000,2966000000,3203000000,406000000,-248000000,-2236000000,11147000000,1110000000,508000000
ABT,1800,10-Q,20150331,375000000,2292000000.0,22874000000,24740000000,336000000,2000000,-595000000,-205000000,-1152000000,-550000000,255000000,235000000
ABT,1800,10-Q,20150630,841000000,466000000.0,22874000000,25162000000,1236000000,943000000,633000000,37000000,-1771000000,-924000000,513000000,451000000
ABT,1800,10-Q,20150930,1380000000,538000000.0,22874000000,25375000000,2437000000,2138000000,-192000000,-1160000000,-2042000000,-1739000000,790000000,862000000
ABT,1800,10-Q,20160331,2292000000,316000000.0,25757000000,25654000000,2000000,-93000000,-205000000,226000000,-550000000,-1432000000,235000000,243000000
ABT,1800,10-Q,20160630,3076000000,784000000.0,25757000000,25884000000,943000000,816000000,37000000,-1244000000,-924000000,-1611000000,451000000,490000000
ABT,1800,10-Q,20160930,3656000000,580000000.0,25757000000,25162000000,2138000000,2033000000,-1160000000,-1798000000,-1739000000,-2357000000,862000000,802000000
ABT,1800,10-Q,20170331,316000000,419000000.0,25565000000,25387000000,-93000000,574000000,226000000,-6154000000,-1432000000,-4399000000,243000000,272000000
ABT,1800,10-Q,20170630,931000000,615000000.0,25565000000,25202000000,816000000,1925000000,-1244000000,-6160000000,-1611000000,-4783000000,490000000,527000000
ABT,1800,10-Q,20170930,602000000,-329000000.0,25565000000,25320000000,2033000000,3930000000,-1798000000,-6466000000,-2357000000,-5169000000,802000000,790000000
ABT,1800,10-Q,20180331,419000000,418000000.0,23978000000,23000000,574000000,1108000000,-6154000000,-238000000,-4399000000,-6455000000,272000000,275000000
ABBV,1551152,10-K,20141231,419000000,418000000.0,1567000000,535000000,6345000000,6267000000,-2418000000,879000000,1931000000,-3442000000,333000000,491000000
ABBV,1551152,10-K,20151231,419000000,418000000.0,535000000,2248000000,6267000000,3549000000,879000000,-926000000,-3442000000,-3293000000,491000000,612000000
ABBV,1551152,10-K,20161231,1774000000,1774000000.0,2248000000,4378000000,3549000000,7535000000,-926000000,-12936000000,-3293000000,5752000000,612000000,532000000
ABBV,1551152,10-K,20171231,5144000000,5144000000.0,4378000000,5459000000,71000000,7535000000,-12936000000,-6074000000,5752000000,-3928000000,532000000,479000000
ABBV,1551152,10-Q,20150331,5144000000,5144000000.0,535000000,739000000,624000000,1585000000,-797000000,-873000000,-1277000000,-930000000,137000000,145000000
ABBV,1551152,10-Q,20150630,5144000000,5144000000.0,535000000,1256000000,2341000000,3417000000,-1156000000,-13384000000,-1692000000,9239000000,279000000,260000000
ABBV,1551152,10-Q,20150930,5144000000,5144000000.0,535000000,1654000000,4127000000,5572000000,-3440000000,-12639000000,-2411000000,8183000000,459000000,387000000
ABBV,1551152,10-Q,20160331,5144000000,5144000000.0,2248000000,2673000000,1585000000,2128000000,-873000000,-1458000000,-930000000,-1219000000,145000000,121000000
ABBV,1551152,10-Q,20160630,5144000000,5144000000.0,2248000000,3349000000,3417000000,4046000000,-13384000000,-5756000000,9239000000,-55000000,260000000,252000000
ABBV,1551152,10-Q,20160930,1239000000,3627000000.0,2248000000,4011000000,5572000000,5500000000,-12639000000,-5955000000,8183000000,-1426000000,387000000,365000000
ABBV,1551152,10-Q,20170331,1354000000,1711000000.0,4378000000,5063000000,2128000000,26000000,-1458000000,-684000000,-1219000000,-26000000,121000000,95000000
ABBV,1551152,10-Q,20170630,1610000000,2964000000.0,4378000000,5951000000,4046000000,13000000,-5756000000,-366000000,-55000000,-13000000,252000000,221000000
ABBV,1551152,10-Q,20170930,1598000000,4562000000.0,4378000000,6547000000,5500000000,14000000,-5955000000,-475000000,-1426000000,-14000000,365000000,347000000
ABBV,1551152,10-Q,20180331,1711000000,2783000000.0,5459000000,4977000000,2102000000,2645000000,-684000000,-447000000,-1794000000,-2509000000,95000000,119000000
ABMD,815094,10-K,20140331,15014000,15014000.0,-258261000,-250910000,26399000,23466000,-10265000,-22272000,-11811000,9632000,2836000,2761000
ABMD,815094,10-K,20150331,15014000,15014000.0,-250910000,-137222000,26399000,23466000,-10265000,-22272000,-11811000,9632000,2836000,2761000
ABMD,815094,10-K,20160331,38147000,113688000.0,-99075000,-137222000,76795000,43290000,-57710000,-49863000,7160000,9523000,15624000,5188000
ABMD,815094,10-K,20170331,52116000,38147000.0,-46959000,-99075000,115116000,76795000,-126333000,-57710000,3867000,7160000,50415000,15624000
