ticker,security,user_id,screen_name,twtr_name
MMM,3M Company,378197959,3M,3M
ABT,Abbott Laboratories,1934702336,AbbottGlobal,Abbott
ABBV,AbbVie Inc.,531892451,abbvie,AbbVie
ABMD,ABIOMED Inc,,,
ACN,Accenture plc,10194682,Accenture,Accenture
ATVI,Activision Blizzard,753670706311815169,ATVI_AB,Activision Blizzard
ADBE,Adobe Systems Inc,63786611,Adobe,Adobe
AMD,Advanced Micro Devices Inc,124658229,ConnectRemote,Advanced Micro Tech
AAP,Advance Auto Parts,76762658,AdvanceAuto,Advance Auto Parts
AES,AES Corp,2541746143,TheAESCorp,The AES Corporation
AET,Aetna Inc,16188518,Aetna,Aetna
AMG,Affiliated Managers Group Inc,2206920425,amgmusic_,AMG
AFL,AFLAC Inc,551154824,pf_afl,Aflac Inc
A,Agilent Technologies Inc,17278322,Agilent,Agilent Technologies
APD,Air Products & Chemicals Inc,109634966,airproducts,Air Products
AKAM,Akamai Technologies Inc,19622847,Akamai,Akamai Technologies
ALK,Alaska Air Group Inc,13192972,AlaskaAir,Alaska Airlines
ALB,Albemarle Corp,342316270,AlbemarleCorp,Albemarle Corp.
ARE,Alexandria Real Estate Equities Inc,,,
ALXN,Alexion Pharmaceuticals,,,
ALGN,Align Technology,988456283287121920,AlignTechInc,Align Technology
ALLE,Allegion,480738493,AllegionUS,Allegion US
AGN,"Allergan, Plc",164787325,Allergan,Allergan plc
ADS,Alliance Data Systems,133000328,E3Alliance,E3 Alliance
LNT,Alliant Energy Corp,556874482,lnt4f8ec4477ea,Alliant Energy Corp
ALL,Allstate Corp,3599926396,AllstateCan,Allstate Can Corp
GOOGL,Alphabet Inc Class A,25995637,alec_petty,alphabet inc
GOOG,Alphabet Inc Class C,25995637,alec_petty,alphabet inc
MO,Altria Group Inc,556921726,mo4f8ed270614aa,Altria Group Inc
AMZN,Amazon.com Inc.,20793816,amazon,Amazon.com
AEE,Ameren Corp,55526996,AmerenCorp,Ameren Corporation
AAL,American Airlines Group,22536055,AmericanAir,American Airlines
AEP,American Electric Power,132213917,BayAreaElectric,American Electrical
AXP,American Express Co,42712551,AmericanExpress,American Express
AIG,"American International Group, Inc.",126118683,AIGinsurance,AIG
AMT,American Tower Corp A,2998877622,the_englishouse,American Tower
AWK,American Water Works Company Inc,25565709,amwater,American Water
AMP,Ameriprise Financial,164011937,ameriprise,Ameriprise Financial
ABC,AmerisourceBergen Corp,,,
AME,AMETEK Inc.,256996215,AMETEKInc,AMETEK Inc.
AMGN,Amgen Inc.,28436760,Amgen,Amgen
APH,Amphenol Corp,1179932060,AmphenolACC,Amphenol CAN MilAero
APC,Anadarko Petroleum Corp,859461997016088576,AnadarkoPetrol,Anadarko Petroleum
ADI,"Analog Devices, Inc.",37722624,ADI_News,"Analog Devices, Inc."
ANDV,Andeavor,1566547009,andeavor,Andeavor
ANSS,ANSYS,33647963,ANSYS,ANSYS
ANTM,Anthem Inc.,435302260,AnthemInc,"Anthem, Inc."
AON,Aon plc,22152077,Aon_plc,Aon
AOS,A.O. Smith Corp,523687787,ArtOfShades,AOS
APA,Apache Corporation,57098362,ApacheCorp,Apache Corporation
AIV,Apartment Investment & Management,,,
AAPL,Apple Inc.,380749300,Apple,Apple
AMAT,Applied Materials Inc.,412738314,Applied_VC,Applied Ventures
APTV,Aptiv Plc,815759221,Aptiv,Aptiv
